RU;8;211;TransparentCalls;0.86;919;23;41
US;69;1009;E-Voice;0.84;891;36;10
GB;21;1495;TransparentCalls;0.93;43;82;56
FR;53;1832;TransparentCalls;0.94;596;91;38
BL;46;646;E-Voice;0.79;978;30;4
AT;93;113;TransparentCalls;0.76;543;39;8
BG;19;551;E-Voice;0.87;877;16;41
DK;38;420;JustPhone;0.96;607;34;49
CA;70;37;JustPhone;0.80;387;54;32
ES16;370;E-Voice;0.84;516;33;39
CH;20;1784;JustPhone;0.95;362;53;19
TR;23;203;TransparentCalls;0.70;247;47;8
PE;46;578;JustPhone;0.78;899;72;30
NZ;58;314;JustPhone;0.85;557;53;30
MC;18;518;E-Voice;0.68;175;57;8
